"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 12 07:28:37 GMT 2023","Wed Apr 12 07:28:37 GMT 2023","388","","Login tests ","","","","Login with empty username and password fields",""
"passed","Wed Apr 12 07:28:34 GMT 2023","Wed Apr 12 07:28:35 GMT 2023","1084","","Login tests ","","","","Login with invalid username and password",""
"passed","Wed Apr 12 07:28:37 GMT 2023","Wed Apr 12 07:28:38 GMT 2023","700","","Login tests ","","","","Login with empty username and valid password",""
"failed","Wed Apr 12 07:28:49 GMT 2023","Wed Apr 12 07:28:54 GMT 2023","5173","","Login tests ","","","","Login with username in upper case",""
"passed","Wed Apr 12 07:28:35 GMT 2023","Wed Apr 12 07:28:36 GMT 2023","897","","Login tests ","","","","Login with invalid user",""
"passed","Wed Apr 12 07:28:36 GMT 2023","Wed Apr 12 07:28:37 GMT 2023","901","","Login tests ","","","","Login with invalid password",""
"passed","Wed Apr 12 07:28:38 GMT 2023","Wed Apr 12 07:28:39 GMT 2023","539","","Login tests ","","","","Login with valid username and empty password",""
"passed","Wed Apr 12 07:28:32 GMT 2023","Wed Apr 12 07:28:34 GMT 2023","2337","","Login tests ","","","","Login with valid credentials",""
"passed","Wed Apr 12 07:29:02 GMT 2023","Wed Apr 12 07:29:03 GMT 2023","962","","Login with valid credentials","","","","login error",""
