"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 05 01:33:41 GMT 2023","Wed Jul 05 01:33:42 GMT 2023","645","","Login tests ","","","","Login with empty username and valid password",""
"passed","Wed Jul 05 01:33:40 GMT 2023","Wed Jul 05 01:33:41 GMT 2023","1006","","Login tests ","","","","Login with invalid password",""
"passed","Wed Jul 05 01:33:42 GMT 2023","Wed Jul 05 01:33:43 GMT 2023","618","","Login tests ","","","","Login with valid username and empty password",""
"passed","Wed Jul 05 01:33:28 GMT 2023","Wed Jul 05 01:33:30 GMT 2023","1612","","Add Products to shopping cart ","","","","Click on the Remove Button from Cart Page",""
"failed","Wed Jul 05 01:33:48 GMT 2023","Wed Jul 05 01:33:53 GMT 2023","5380","","Login tests ","","","","Login with username in upper case",""
"passed","Wed Jul 05 01:33:41 GMT 2023","Wed Jul 05 01:33:41 GMT 2023","316","","Login tests ","","","","Login with empty username and password fields",""
"passed","Wed Jul 05 01:33:39 GMT 2023","Wed Jul 05 01:33:40 GMT 2023","1002","","Login tests ","","","","Login with invalid user",""
"passed","Wed Jul 05 01:33:36 GMT 2023","Wed Jul 05 01:33:38 GMT 2023","1503","","Login tests ","","","","Login with valid credentials",""
"passed","Wed Jul 05 01:33:38 GMT 2023","Wed Jul 05 01:33:39 GMT 2023","1249","","Login tests ","","","","Login with invalid username and password",""
"passed","Wed Jul 05 01:34:02 GMT 2023","Wed Jul 05 01:34:02 GMT 2023","649","","Mercado Libre Departments","","","","should contain departments",""
"passed","Wed Jul 05 01:33:25 GMT 2023","Wed Jul 05 01:33:28 GMT 2023","3139","","Add Products to shopping cart ","","","","Click on the Random Add to Cart buton from inventory",""
