"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon May 01 00:53:07 GMT 2023","Mon May 01 00:53:12 GMT 2023","5141","","Login tests ","","","","Login with username in upper case",""
"passed","Mon May 01 00:52:59 GMT 2023","Mon May 01 00:53:00 GMT 2023","883","","Login tests ","","","","Login with invalid password",""
"passed","Mon May 01 00:53:18 GMT 2023","Mon May 01 00:53:18 GMT 2023","338","","Mercado Libre Departments","","","","should contain departments",""
"passed","Mon May 01 00:52:47 GMT 2023","Mon May 01 00:52:50 GMT 2023","2803","","Add Products to shopping cart ","","","","Click on the Random Add to Cart buton from inventory",""
"passed","Mon May 01 00:53:00 GMT 2023","Mon May 01 00:53:01 GMT 2023","323","","Login tests ","","","","Login with empty username and password fields",""
"passed","Mon May 01 00:53:01 GMT 2023","Mon May 01 00:53:01 GMT 2023","499","","Login tests ","","","","Login with empty username and valid password",""
"passed","Mon May 01 00:52:56 GMT 2023","Mon May 01 00:52:58 GMT 2023","1224","","Login tests ","","","","Login with valid credentials",""
"passed","Mon May 01 00:52:50 GMT 2023","Mon May 01 00:52:52 GMT 2023","1306","","Add Products to shopping cart ","","","","Click on the Remove Button from Cart Page",""
"passed","Mon May 01 00:52:58 GMT 2023","Mon May 01 00:52:58 GMT 2023","942","","Login tests ","","","","Login with invalid username and password",""
"passed","Mon May 01 00:52:58 GMT 2023","Mon May 01 00:52:59 GMT 2023","866","","Login tests ","","","","Login with invalid user",""
"passed","Mon May 01 00:53:01 GMT 2023","Mon May 01 00:53:02 GMT 2023","559","","Login tests ","","","","Login with valid username and empty password",""
