"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 06 00:44:40 GMT 2023","Sat May 06 00:44:41 GMT 2023","1145","","Login tests ","","","","Login with valid credentials",""
"passed","Sat May 06 00:44:32 GMT 2023","Sat May 06 00:44:34 GMT 2023","1837","","Add Products to shopping cart ","","","","Click on the Random Add to Cart buton from inventory",""
"passed","Sat May 06 00:44:34 GMT 2023","Sat May 06 00:44:36 GMT 2023","1469","","Add Products to shopping cart ","","","","Click on the Remove Button from Cart Page",""
"passed","Sat May 06 00:44:44 GMT 2023","Sat May 06 00:44:44 GMT 2023","280","","Login tests ","","","","Login with empty username and password fields",""
"passed","Sat May 06 00:44:41 GMT 2023","Sat May 06 00:44:42 GMT 2023","962","","Login tests ","","","","Login with invalid username and password",""
"failed","Sat May 06 00:44:50 GMT 2023","Sat May 06 00:44:56 GMT 2023","5154","","Login tests ","","","","Login with username in upper case",""
"passed","Sat May 06 00:44:45 GMT 2023","Sat May 06 00:44:45 GMT 2023","558","","Login tests ","","","","Login with valid username and empty password",""
"passed","Sat May 06 00:45:01 GMT 2023","Sat May 06 00:45:02 GMT 2023","215","","Mercado Libre Departments","","","","should contain departments",""
"passed","Sat May 06 00:44:44 GMT 2023","Sat May 06 00:44:45 GMT 2023","517","","Login tests ","","","","Login with empty username and valid password",""
"passed","Sat May 06 00:44:43 GMT 2023","Sat May 06 00:44:44 GMT 2023","857","","Login tests ","","","","Login with invalid password",""
"passed","Sat May 06 00:44:42 GMT 2023","Sat May 06 00:44:43 GMT 2023","847","","Login tests ","","","","Login with invalid user",""
