"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 15 00:49:57 GMT 2023","Sat Apr 15 00:49:58 GMT 2023","1156","","Login tests ","","","","Login with valid credentials",""
"passed","Sat Apr 15 00:49:51 GMT 2023","Sat Apr 15 00:49:53 GMT 2023","1424","","Add Products to shopping cart ","","","","Click on the Remove Button from Cart Page",""
"passed","Sat Apr 15 00:49:58 GMT 2023","Sat Apr 15 00:49:59 GMT 2023","943","","Login tests ","","","","Login with invalid username and password",""
"passed","Sat Apr 15 00:50:02 GMT 2023","Sat Apr 15 00:50:02 GMT 2023","504","","Login tests ","","","","Login with valid username and empty password",""
"passed","Sat Apr 15 00:49:59 GMT 2023","Sat Apr 15 00:50:00 GMT 2023","869","","Login tests ","","","","Login with invalid user",""
"passed","Sat Apr 15 00:50:18 GMT 2023","Sat Apr 15 00:50:19 GMT 2023","418","","Mercado Libre Departments","","","","should contain departments",""
"passed","Sat Apr 15 00:49:49 GMT 2023","Sat Apr 15 00:49:51 GMT 2023","2004","","Add Products to shopping cart ","","","","Click on the Random Add to Cart buton from inventory",""
"passed","Sat Apr 15 00:50:00 GMT 2023","Sat Apr 15 00:50:01 GMT 2023","825","","Login tests ","","","","Login with invalid password",""
"passed","Sat Apr 15 00:50:01 GMT 2023","Sat Apr 15 00:50:01 GMT 2023","290","","Login tests ","","","","Login with empty username and password fields",""
"passed","Sat Apr 15 00:50:01 GMT 2023","Sat Apr 15 00:50:02 GMT 2023","526","","Login tests ","","","","Login with empty username and valid password",""
"failed","Sat Apr 15 00:50:07 GMT 2023","Sat Apr 15 00:50:12 GMT 2023","5162","","Login tests ","","","","Login with username in upper case",""
