"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 14 00:46:46 GMT 2023","Fri Apr 14 00:46:46 GMT 2023","489","","Login tests ","","","","Login with valid username and empty password",""
"passed","Fri Apr 14 00:47:02 GMT 2023","Fri Apr 14 00:47:02 GMT 2023","290","","Mercado Libre Departments","","","","should contain departments",""
"passed","Fri Apr 14 00:46:36 GMT 2023","Fri Apr 14 00:46:37 GMT 2023","1274","","Add Products to shopping cart ","","","","Click on the Remove Button from Cart Page",""
"passed","Fri Apr 14 00:46:42 GMT 2023","Fri Apr 14 00:46:43 GMT 2023","910","","Login tests ","","","","Login with invalid username and password",""
"failed","Fri Apr 14 00:46:51 GMT 2023","Fri Apr 14 00:46:56 GMT 2023","5022","","Login tests ","","","","Login with username in upper case",""
"passed","Fri Apr 14 00:46:45 GMT 2023","Fri Apr 14 00:46:46 GMT 2023","501","","Login tests ","","","","Login with empty username and valid password",""
"passed","Fri Apr 14 00:46:41 GMT 2023","Fri Apr 14 00:46:42 GMT 2023","1181","","Login tests ","","","","Login with valid credentials",""
"passed","Fri Apr 14 00:46:33 GMT 2023","Fri Apr 14 00:46:36 GMT 2023","2548","","Add Products to shopping cart ","","","","Click on the Random Add to Cart buton from inventory",""
"passed","Fri Apr 14 00:46:45 GMT 2023","Fri Apr 14 00:46:45 GMT 2023","311","","Login tests ","","","","Login with empty username and password fields",""
"passed","Fri Apr 14 00:46:44 GMT 2023","Fri Apr 14 00:46:45 GMT 2023","771","","Login tests ","","","","Login with invalid password",""
"passed","Fri Apr 14 00:46:43 GMT 2023","Fri Apr 14 00:46:44 GMT 2023","819","","Login tests ","","","","Login with invalid user",""
