"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Apr 24 00:50:24 GMT 2023","Mon Apr 24 00:50:29 GMT 2023","5362","","Login tests ","","","","Login with username in upper case",""
"passed","Mon Apr 24 00:50:15 GMT 2023","Mon Apr 24 00:50:16 GMT 2023","957","","Login tests ","","","","Login with invalid user",""
"passed","Mon Apr 24 00:50:37 GMT 2023","Mon Apr 24 00:50:37 GMT 2023","422","","Mercado Libre Departments","","","","should contain departments",""
"passed","Mon Apr 24 00:50:18 GMT 2023","Mon Apr 24 00:50:18 GMT 2023","564","","Login tests ","","","","Login with empty username and valid password",""
"passed","Mon Apr 24 00:50:18 GMT 2023","Mon Apr 24 00:50:19 GMT 2023","561","","Login tests ","","","","Login with valid username and empty password",""
"passed","Mon Apr 24 00:50:17 GMT 2023","Mon Apr 24 00:50:18 GMT 2023","283","","Login tests ","","","","Login with empty username and password fields",""
"passed","Mon Apr 24 00:50:16 GMT 2023","Mon Apr 24 00:50:17 GMT 2023","979","","Login tests ","","","","Login with invalid password",""
"passed","Mon Apr 24 00:50:05 GMT 2023","Mon Apr 24 00:50:07 GMT 2023","1661","","Add Products to shopping cart ","","","","Click on the Remove Button from Cart Page",""
"passed","Mon Apr 24 00:50:14 GMT 2023","Mon Apr 24 00:50:15 GMT 2023","1138","","Login tests ","","","","Login with invalid username and password",""
"passed","Mon Apr 24 00:50:13 GMT 2023","Mon Apr 24 00:50:14 GMT 2023","1384","","Login tests ","","","","Login with valid credentials",""
"passed","Mon Apr 24 00:50:02 GMT 2023","Mon Apr 24 00:50:05 GMT 2023","3386","","Add Products to shopping cart ","","","","Click on the Random Add to Cart buton from inventory",""
