"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 05 00:44:23 GMT 2023","Fri May 05 00:44:24 GMT 2023","1152","","Login tests ","","","","Login with valid credentials",""
"passed","Fri May 05 00:44:17 GMT 2023","Fri May 05 00:44:19 GMT 2023","1416","","Add Products to shopping cart ","","","","Click on the Remove Button from Cart Page",""
"passed","Fri May 05 00:44:26 GMT 2023","Fri May 05 00:44:27 GMT 2023","858","","Login tests ","","","","Login with invalid password",""
"passed","Fri May 05 00:44:15 GMT 2023","Fri May 05 00:44:17 GMT 2023","2447","","Add Products to shopping cart ","","","","Click on the Random Add to Cart buton from inventory",""
"passed","Fri May 05 00:44:24 GMT 2023","Fri May 05 00:44:25 GMT 2023","1020","","Login tests ","","","","Login with invalid username and password",""
"passed","Fri May 05 00:44:27 GMT 2023","Fri May 05 00:44:27 GMT 2023","323","","Login tests ","","","","Login with empty username and password fields",""
"passed","Fri May 05 00:44:44 GMT 2023","Fri May 05 00:44:45 GMT 2023","418","","Mercado Libre Departments","","","","should contain departments",""
"failed","Fri May 05 00:44:33 GMT 2023","Fri May 05 00:44:39 GMT 2023","5131","","Login tests ","","","","Login with username in upper case",""
"passed","Fri May 05 00:44:28 GMT 2023","Fri May 05 00:44:28 GMT 2023","582","","Login tests ","","","","Login with valid username and empty password",""
"passed","Fri May 05 00:44:27 GMT 2023","Fri May 05 00:44:28 GMT 2023","484","","Login tests ","","","","Login with empty username and valid password",""
"passed","Fri May 05 00:44:25 GMT 2023","Fri May 05 00:44:26 GMT 2023","844","","Login tests ","","","","Login with invalid user",""
