"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 06 19:28:28 GMT 2023","Thu Jul 06 19:28:28 GMT 2023","356","","Mercado Libre Departments","","","","should contain departments",""
"passed","Thu Jul 06 19:28:10 GMT 2023","Thu Jul 06 19:28:10 GMT 2023","538","","Login tests ","","","","Login with empty username and valid password",""
"passed","Thu Jul 06 19:27:59 GMT 2023","Thu Jul 06 19:28:01 GMT 2023","1441","","Add Products to shopping cart ","","","","Click on the Remove Button from Cart Page",""
"passed","Thu Jul 06 19:28:10 GMT 2023","Thu Jul 06 19:28:10 GMT 2023","243","","Login tests ","","","","Login with empty username and password fields",""
"passed","Thu Jul 06 19:28:08 GMT 2023","Thu Jul 06 19:28:09 GMT 2023","899","","Login tests ","","","","Login with invalid user",""
"passed","Thu Jul 06 19:28:09 GMT 2023","Thu Jul 06 19:28:10 GMT 2023","913","","Login tests ","","","","Login with invalid password",""
"passed","Thu Jul 06 19:27:57 GMT 2023","Thu Jul 06 19:27:59 GMT 2023","2075","","Add Products to shopping cart ","","","","Click on the Random Add to Cart buton from inventory",""
"passed","Thu Jul 06 19:28:05 GMT 2023","Thu Jul 06 19:28:07 GMT 2023","1223","","Login tests ","","","","Login with valid credentials",""
"failed","Thu Jul 06 19:28:16 GMT 2023","Thu Jul 06 19:28:21 GMT 2023","5255","","Login tests ","","","","Login with username in upper case",""
"passed","Thu Jul 06 19:28:07 GMT 2023","Thu Jul 06 19:28:08 GMT 2023","1044","","Login tests ","","","","Login with invalid username and password",""
"passed","Thu Jul 06 19:28:10 GMT 2023","Thu Jul 06 19:28:11 GMT 2023","582","","Login tests ","","","","Login with valid username and empty password",""
