"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 12 08:54:48 GMT 2023","Wed Apr 12 08:54:49 GMT 2023","814","","Login tests ","","","","Login with invalid password",""
"passed","Wed Apr 12 08:54:47 GMT 2023","Wed Apr 12 08:54:48 GMT 2023","834","","Login tests ","","","","Login with invalid user",""
"passed","Wed Apr 12 08:54:46 GMT 2023","Wed Apr 12 08:54:47 GMT 2023","1012","","Login tests ","","","","Login with invalid username and password",""
"passed","Wed Apr 12 08:54:49 GMT 2023","Wed Apr 12 08:54:50 GMT 2023","490","","Login tests ","","","","Login with empty username and valid password",""
"passed","Wed Apr 12 08:54:50 GMT 2023","Wed Apr 12 08:54:50 GMT 2023","496","","Login tests ","","","","Login with valid username and empty password",""
"passed","Wed Apr 12 08:54:44 GMT 2023","Wed Apr 12 08:54:46 GMT 2023","1973","","Login tests ","","","","Login with valid credentials",""
"failed","Wed Apr 12 08:55:00 GMT 2023","Wed Apr 12 08:55:05 GMT 2023","5180","","Login tests ","","","","Login with username in upper case",""
"passed","Wed Apr 12 08:55:13 GMT 2023","Wed Apr 12 08:55:14 GMT 2023","922","","Login with valid credentials","","","","login error",""
"passed","Wed Apr 12 08:54:49 GMT 2023","Wed Apr 12 08:54:49 GMT 2023","278","","Login tests ","","","","Login with empty username and password fields",""
