"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 18 00:46:47 GMT 2023","Tue Apr 18 00:46:49 GMT 2023","1487","","Add Products to shopping cart ","","","","Click on the Remove Button from Cart Page",""
"passed","Tue Apr 18 00:47:16 GMT 2023","Tue Apr 18 00:47:16 GMT 2023","407","","Mercado Libre Departments","","","","should contain departments",""
"passed","Tue Apr 18 00:46:53 GMT 2023","Tue Apr 18 00:46:55 GMT 2023","1230","","Login tests ","","","","Login with valid credentials",""
"passed","Tue Apr 18 00:46:45 GMT 2023","Tue Apr 18 00:46:47 GMT 2023","1917","","Add Products to shopping cart ","","","","Click on the Random Add to Cart buton from inventory",""
"passed","Tue Apr 18 00:46:57 GMT 2023","Tue Apr 18 00:46:58 GMT 2023","921","","Login tests ","","","","Login with invalid password",""
"passed","Tue Apr 18 00:46:58 GMT 2023","Tue Apr 18 00:46:59 GMT 2023","514","","Login tests ","","","","Login with valid username and empty password",""
"passed","Tue Apr 18 00:46:56 GMT 2023","Tue Apr 18 00:46:57 GMT 2023","888","","Login tests ","","","","Login with invalid user",""
"failed","Tue Apr 18 00:47:04 GMT 2023","Tue Apr 18 00:47:09 GMT 2023","5182","","Login tests ","","","","Login with username in upper case",""
"passed","Tue Apr 18 00:46:58 GMT 2023","Tue Apr 18 00:46:58 GMT 2023","509","","Login tests ","","","","Login with empty username and valid password",""
"passed","Tue Apr 18 00:46:55 GMT 2023","Tue Apr 18 00:46:56 GMT 2023","1065","","Login tests ","","","","Login with invalid username and password",""
"passed","Tue Apr 18 00:46:58 GMT 2023","Tue Apr 18 00:46:58 GMT 2023","232","","Login tests ","","","","Login with empty username and password fields",""
