"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 08 00:47:02 GMT 2023","Mon May 08 00:47:06 GMT 2023","3399","","Add Products to shopping cart ","","","","Click on the Random Add to Cart buton from inventory",""
"passed","Mon May 08 00:47:06 GMT 2023","Mon May 08 00:47:07 GMT 2023","1523","","Add Products to shopping cart ","","","","Click on the Remove Button from Cart Page",""
"passed","Mon May 08 00:47:13 GMT 2023","Mon May 08 00:47:14 GMT 2023","1364","","Login tests ","","","","Login with valid credentials",""
"passed","Mon May 08 00:47:18 GMT 2023","Mon May 08 00:47:19 GMT 2023","614","","Login tests ","","","","Login with valid username and empty password",""
"failed","Mon May 08 00:47:24 GMT 2023","Mon May 08 00:47:30 GMT 2023","5403","","Login tests ","","","","Login with username in upper case",""
"passed","Mon May 08 00:47:17 GMT 2023","Mon May 08 00:47:18 GMT 2023","254","","Login tests ","","","","Login with empty username and password fields",""
"passed","Mon May 08 00:47:16 GMT 2023","Mon May 08 00:47:16 GMT 2023","906","","Login tests ","","","","Login with invalid user",""
"passed","Mon May 08 00:47:18 GMT 2023","Mon May 08 00:47:18 GMT 2023","587","","Login tests ","","","","Login with empty username and valid password",""
"passed","Mon May 08 00:47:16 GMT 2023","Mon May 08 00:47:17 GMT 2023","1011","","Login tests ","","","","Login with invalid password",""
"passed","Mon May 08 00:47:14 GMT 2023","Mon May 08 00:47:16 GMT 2023","1117","","Login tests ","","","","Login with invalid username and password",""
"passed","Mon May 08 00:47:38 GMT 2023","Mon May 08 00:47:38 GMT 2023","476","","Mercado Libre Departments","","","","should contain departments",""
