"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 13 06:48:08 GMT 2023","Thu Apr 13 06:48:09 GMT 2023","1045","","Login tests ","","","","Login with invalid username and password",""
"passed","Thu Apr 13 06:48:11 GMT 2023","Thu Apr 13 06:48:12 GMT 2023","536","","Login tests ","","","","Login with empty username and valid password",""
"passed","Thu Apr 13 06:48:11 GMT 2023","Thu Apr 13 06:48:11 GMT 2023","321","","Login tests ","","","","Login with empty username and password fields",""
"passed","Thu Apr 13 06:48:00 GMT 2023","Thu Apr 13 06:48:02 GMT 2023","2545","","Add Products to shopping cart ","","","","Click on the Random Add to Cart buton from inventory",""
"passed","Thu Apr 13 06:48:12 GMT 2023","Thu Apr 13 06:48:12 GMT 2023","539","","Login tests ","","","","Login with valid username and empty password",""
"passed","Thu Apr 13 06:48:29 GMT 2023","Thu Apr 13 06:48:29 GMT 2023","562","","Mercado Libre Departments","","","","should contain departments",""
"passed","Thu Apr 13 06:48:06 GMT 2023","Thu Apr 13 06:48:08 GMT 2023","1213","","Login tests ","","","","Login with valid credentials",""
"passed","Thu Apr 13 06:48:10 GMT 2023","Thu Apr 13 06:48:11 GMT 2023","960","","Login tests ","","","","Login with invalid password",""
"failed","Thu Apr 13 06:48:17 GMT 2023","Thu Apr 13 06:48:23 GMT 2023","5230","","Login tests ","","","","Login with username in upper case",""
"passed","Thu Apr 13 06:48:09 GMT 2023","Thu Apr 13 06:48:10 GMT 2023","898","","Login tests ","","","","Login with invalid user",""
