"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed May 03 00:49:00 GMT 2023","Wed May 03 00:49:05 GMT 2023","5095","","Login tests ","","","","Login with username in upper case",""
"passed","Wed May 03 00:48:42 GMT 2023","Wed May 03 00:48:44 GMT 2023","2413","","Add Products to shopping cart ","","","","Click on the Random Add to Cart buton from inventory",""
"passed","Wed May 03 00:48:54 GMT 2023","Wed May 03 00:48:55 GMT 2023","488","","Login tests ","","","","Login with empty username and valid password",""
"passed","Wed May 03 00:48:51 GMT 2023","Wed May 03 00:48:52 GMT 2023","1011","","Login tests ","","","","Login with invalid username and password",""
"passed","Wed May 03 00:48:44 GMT 2023","Wed May 03 00:48:46 GMT 2023","1268","","Add Products to shopping cart ","","","","Click on the Remove Button from Cart Page",""
"passed","Wed May 03 00:48:50 GMT 2023","Wed May 03 00:48:51 GMT 2023","1163","","Login tests ","","","","Login with valid credentials",""
"passed","Wed May 03 00:48:53 GMT 2023","Wed May 03 00:48:54 GMT 2023","863","","Login tests ","","","","Login with invalid password",""
"passed","Wed May 03 00:48:55 GMT 2023","Wed May 03 00:48:55 GMT 2023","520","","Login tests ","","","","Login with valid username and empty password",""
"passed","Wed May 03 00:49:12 GMT 2023","Wed May 03 00:49:13 GMT 2023","474","","Mercado Libre Departments","","","","should contain departments",""
"passed","Wed May 03 00:48:52 GMT 2023","Wed May 03 00:48:53 GMT 2023","816","","Login tests ","","","","Login with invalid user",""
"passed","Wed May 03 00:48:54 GMT 2023","Wed May 03 00:48:54 GMT 2023","343","","Login tests ","","","","Login with empty username and password fields",""
