"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 25 00:49:41 GMT 2023","Tue Apr 25 00:49:42 GMT 2023","422","","Mercado Libre Departments","","","","should contain departments",""
"passed","Tue Apr 25 00:49:23 GMT 2023","Tue Apr 25 00:49:24 GMT 2023","562","","Login tests ","","","","Login with empty username and valid password",""
"passed","Tue Apr 25 00:49:19 GMT 2023","Tue Apr 25 00:49:20 GMT 2023","1246","","Login tests ","","","","Login with valid credentials",""
"passed","Tue Apr 25 00:49:24 GMT 2023","Tue Apr 25 00:49:25 GMT 2023","661","","Login tests ","","","","Login with valid username and empty password",""
"passed","Tue Apr 25 00:49:20 GMT 2023","Tue Apr 25 00:49:21 GMT 2023","1051","","Login tests ","","","","Login with invalid username and password",""
"failed","Tue Apr 25 00:49:30 GMT 2023","Tue Apr 25 00:49:35 GMT 2023","5232","","Login tests ","","","","Login with username in upper case",""
"passed","Tue Apr 25 00:49:22 GMT 2023","Tue Apr 25 00:49:23 GMT 2023","945","","Login tests ","","","","Login with invalid password",""
"passed","Tue Apr 25 00:49:23 GMT 2023","Tue Apr 25 00:49:23 GMT 2023","232","","Login tests ","","","","Login with empty username and password fields",""
"passed","Tue Apr 25 00:49:10 GMT 2023","Tue Apr 25 00:49:13 GMT 2023","2186","","Add Products to shopping cart ","","","","Click on the Random Add to Cart buton from inventory",""
"passed","Tue Apr 25 00:49:13 GMT 2023","Tue Apr 25 00:49:14 GMT 2023","1510","","Add Products to shopping cart ","","","","Click on the Remove Button from Cart Page",""
"passed","Tue Apr 25 00:49:21 GMT 2023","Tue Apr 25 00:49:22 GMT 2023","895","","Login tests ","","","","Login with invalid user",""
