"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 28 00:50:53 GMT 2023","Fri Apr 28 00:50:54 GMT 2023","1322","","Login tests ","","","","Login with valid credentials",""
"passed","Fri Apr 28 00:50:57 GMT 2023","Fri Apr 28 00:50:58 GMT 2023","246","","Login tests ","","","","Login with empty username and password fields",""
"passed","Fri Apr 28 00:51:18 GMT 2023","Fri Apr 28 00:51:18 GMT 2023","341","","Mercado Libre Departments","","","","should contain departments",""
"passed","Fri Apr 28 00:50:46 GMT 2023","Fri Apr 28 00:50:48 GMT 2023","1515","","Add Products to shopping cart ","","","","Click on the Remove Button from Cart Page",""
"passed","Fri Apr 28 00:50:44 GMT 2023","Fri Apr 28 00:50:46 GMT 2023","2262","","Add Products to shopping cart ","","","","Click on the Random Add to Cart buton from inventory",""
"passed","Fri Apr 28 00:50:58 GMT 2023","Fri Apr 28 00:50:59 GMT 2023","567","","Login tests ","","","","Login with valid username and empty password",""
"passed","Fri Apr 28 00:50:56 GMT 2023","Fri Apr 28 00:50:57 GMT 2023","964","","Login tests ","","","","Login with invalid password",""
"failed","Fri Apr 28 00:51:04 GMT 2023","Fri Apr 28 00:51:09 GMT 2023","5371","","Login tests ","","","","Login with username in upper case",""
"passed","Fri Apr 28 00:50:58 GMT 2023","Fri Apr 28 00:50:58 GMT 2023","542","","Login tests ","","","","Login with empty username and valid password",""
"passed","Fri Apr 28 00:50:54 GMT 2023","Fri Apr 28 00:50:55 GMT 2023","1024","","Login tests ","","","","Login with invalid username and password",""
"passed","Fri Apr 28 00:50:55 GMT 2023","Fri Apr 28 00:50:56 GMT 2023","907","","Login tests ","","","","Login with invalid user",""
