"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 02 00:50:29 GMT 2023","Tue May 02 00:50:29 GMT 2023","632","","Mercado Libre Departments","","","","should contain departments",""
"passed","Tue May 02 00:49:55 GMT 2023","Tue May 02 00:49:56 GMT 2023","1739","","Add Products to shopping cart ","","","","Click on the Remove Button from Cart Page",""
"passed","Tue May 02 00:50:06 GMT 2023","Tue May 02 00:50:07 GMT 2023","1016","","Login tests ","","","","Login with invalid user",""
"passed","Tue May 02 00:49:51 GMT 2023","Tue May 02 00:49:55 GMT 2023","3637","","Add Products to shopping cart ","","","","Click on the Random Add to Cart buton from inventory",""
"passed","Tue May 02 00:50:09 GMT 2023","Tue May 02 00:50:10 GMT 2023","621","","Login tests ","","","","Login with valid username and empty password",""
"passed","Tue May 02 00:50:08 GMT 2023","Tue May 02 00:50:09 GMT 2023","644","","Login tests ","","","","Login with empty username and valid password",""
"passed","Tue May 02 00:50:03 GMT 2023","Tue May 02 00:50:04 GMT 2023","1470","","Login tests ","","","","Login with valid credentials",""
"passed","Tue May 02 00:50:08 GMT 2023","Tue May 02 00:50:08 GMT 2023","358","","Login tests ","","","","Login with empty username and password fields",""
"failed","Tue May 02 00:50:15 GMT 2023","Tue May 02 00:50:20 GMT 2023","5436","","Login tests ","","","","Login with username in upper case",""
"passed","Tue May 02 00:50:07 GMT 2023","Tue May 02 00:50:08 GMT 2023","1083","","Login tests ","","","","Login with invalid password",""
"passed","Tue May 02 00:50:05 GMT 2023","Tue May 02 00:50:06 GMT 2023","1231","","Login tests ","","","","Login with invalid username and password",""
