"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 17 01:43:26 GMT 2023","Mon Apr 17 01:43:27 GMT 2023","481","","Mercado Libre Departments","","","","should contain departments",""
"failed","Mon Apr 17 01:43:13 GMT 2023","Mon Apr 17 01:43:18 GMT 2023","5348","","Login tests ","","","","Login with username in upper case",""
"passed","Mon Apr 17 01:43:04 GMT 2023","Mon Apr 17 01:43:05 GMT 2023","981","","Login tests ","","","","Login with invalid user",""
"passed","Mon Apr 17 01:43:05 GMT 2023","Mon Apr 17 01:43:06 GMT 2023","996","","Login tests ","","","","Login with invalid password",""
"passed","Mon Apr 17 01:43:03 GMT 2023","Mon Apr 17 01:43:04 GMT 2023","1187","","Login tests ","","","","Login with invalid username and password",""
"passed","Mon Apr 17 01:43:06 GMT 2023","Mon Apr 17 01:43:07 GMT 2023","561","","Login tests ","","","","Login with empty username and valid password",""
"passed","Mon Apr 17 01:42:51 GMT 2023","Mon Apr 17 01:42:54 GMT 2023","3109","","Add Products to shopping cart ","","","","Click on the Random Add to Cart buton from inventory",""
"passed","Mon Apr 17 01:43:01 GMT 2023","Mon Apr 17 01:43:03 GMT 2023","1340","","Login tests ","","","","Login with valid credentials",""
"passed","Mon Apr 17 01:43:06 GMT 2023","Mon Apr 17 01:43:06 GMT 2023","279","","Login tests ","","","","Login with empty username and password fields",""
"passed","Mon Apr 17 01:43:07 GMT 2023","Mon Apr 17 01:43:07 GMT 2023","557","","Login tests ","","","","Login with valid username and empty password",""
"passed","Mon Apr 17 01:42:54 GMT 2023","Mon Apr 17 01:42:56 GMT 2023","1482","","Add Products to shopping cart ","","","","Click on the Remove Button from Cart Page",""
