"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue May 09 00:49:33 GMT 2023","Tue May 09 00:49:38 GMT 2023","5186","","Login tests ","","","","Login with username in upper case",""
"passed","Tue May 09 00:49:24 GMT 2023","Tue May 09 00:49:25 GMT 2023","1068","","Login tests ","","","","Login with invalid username and password",""
"passed","Tue May 09 00:49:25 GMT 2023","Tue May 09 00:49:26 GMT 2023","870","","Login tests ","","","","Login with invalid user",""
"passed","Tue May 09 00:49:15 GMT 2023","Tue May 09 00:49:17 GMT 2023","2076","","Add Products to shopping cart ","","","","Click on the Random Add to Cart buton from inventory",""
"passed","Tue May 09 00:49:23 GMT 2023","Tue May 09 00:49:24 GMT 2023","1157","","Login tests ","","","","Login with valid credentials",""
"passed","Tue May 09 00:49:17 GMT 2023","Tue May 09 00:49:18 GMT 2023","1397","","Add Products to shopping cart ","","","","Click on the Remove Button from Cart Page",""
"passed","Tue May 09 00:49:27 GMT 2023","Tue May 09 00:49:28 GMT 2023","517","","Login tests ","","","","Login with empty username and valid password",""
"passed","Tue May 09 00:49:28 GMT 2023","Tue May 09 00:49:28 GMT 2023","549","","Login tests ","","","","Login with valid username and empty password",""
"passed","Tue May 09 00:49:44 GMT 2023","Tue May 09 00:49:45 GMT 2023","344","","Mercado Libre Departments","","","","should contain departments",""
"passed","Tue May 09 00:49:27 GMT 2023","Tue May 09 00:49:27 GMT 2023","230","","Login tests ","","","","Login with empty username and password fields",""
"passed","Tue May 09 00:49:26 GMT 2023","Tue May 09 00:49:27 GMT 2023","876","","Login tests ","","","","Login with invalid password",""
