"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 23 00:53:33 GMT 2023","Sun Apr 23 00:53:33 GMT 2023","473","","Login tests ","","","","Login with empty username and valid password",""
"passed","Sun Apr 23 00:53:21 GMT 2023","Sun Apr 23 00:53:23 GMT 2023","1992","","Add Products to shopping cart ","","","","Click on the Random Add to Cart buton from inventory",""
"passed","Sun Apr 23 00:53:50 GMT 2023","Sun Apr 23 00:53:50 GMT 2023","239","","Mercado Libre Departments","","","","should contain departments",""
"passed","Sun Apr 23 00:53:31 GMT 2023","Sun Apr 23 00:53:32 GMT 2023","879","","Login tests ","","","","Login with invalid user",""
"passed","Sun Apr 23 00:53:29 GMT 2023","Sun Apr 23 00:53:30 GMT 2023","1138","","Login tests ","","","","Login with valid credentials",""
"failed","Sun Apr 23 00:53:39 GMT 2023","Sun Apr 23 00:53:44 GMT 2023","5145","","Login tests ","","","","Login with username in upper case",""
"passed","Sun Apr 23 00:53:30 GMT 2023","Sun Apr 23 00:53:31 GMT 2023","998","","Login tests ","","","","Login with invalid username and password",""
"passed","Sun Apr 23 00:53:32 GMT 2023","Sun Apr 23 00:53:33 GMT 2023","816","","Login tests ","","","","Login with invalid password",""
"passed","Sun Apr 23 00:53:33 GMT 2023","Sun Apr 23 00:53:34 GMT 2023","537","","Login tests ","","","","Login with valid username and empty password",""
"passed","Sun Apr 23 00:53:23 GMT 2023","Sun Apr 23 00:53:24 GMT 2023","1333","","Add Products to shopping cart ","","","","Click on the Remove Button from Cart Page",""
"passed","Sun Apr 23 00:53:33 GMT 2023","Sun Apr 23 00:53:33 GMT 2023","317","","Login tests ","","","","Login with empty username and password fields",""
