"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 13 04:12:37 GMT 2023","Thu Apr 13 04:12:38 GMT 2023","1043","","Login tests ","","","","Login with invalid user",""
"passed","Thu Apr 13 04:12:24 GMT 2023","Thu Apr 13 04:12:28 GMT 2023","3191","","Add Products to shopping cart ","","","","Click on the Random Add to Cart buton from inventory",""
"passed","Thu Apr 13 04:12:34 GMT 2023","Thu Apr 13 04:12:35 GMT 2023","1483","","Login tests ","","","","Login with valid credentials",""
"passed","Thu Apr 13 04:12:38 GMT 2023","Thu Apr 13 04:12:39 GMT 2023","1004","","Login tests ","","","","Login with invalid password",""
"failed","Thu Apr 13 04:12:46 GMT 2023","Thu Apr 13 04:12:52 GMT 2023","5919","","Login tests ","","","","Login with username in upper case",""
"passed","Thu Apr 13 04:12:39 GMT 2023","Thu Apr 13 04:12:39 GMT 2023","412","","Login tests ","","","","Login with empty username and password fields",""
"passed","Thu Apr 13 04:12:39 GMT 2023","Thu Apr 13 04:12:40 GMT 2023","660","","Login tests ","","","","Login with empty username and valid password",""
"passed","Thu Apr 13 04:12:35 GMT 2023","Thu Apr 13 04:12:37 GMT 2023","1362","","Login tests ","","","","Login with invalid username and password",""
"passed","Thu Apr 13 04:12:40 GMT 2023","Thu Apr 13 04:12:40 GMT 2023","594","","Login tests ","","","","Login with valid username and empty password",""
