"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 13 06:06:15 GMT 2023","Thu Apr 13 06:06:16 GMT 2023","967","","Login tests ","","","","Login with invalid user",""
"passed","Thu Apr 13 06:06:12 GMT 2023","Thu Apr 13 06:06:14 GMT 2023","1376","","Login tests ","","","","Login with valid credentials",""
"passed","Thu Apr 13 06:06:16 GMT 2023","Thu Apr 13 06:06:17 GMT 2023","899","","Login tests ","","","","Login with invalid password",""
"failed","Thu Apr 13 06:06:23 GMT 2023","Thu Apr 13 06:06:29 GMT 2023","5221","","Login tests ","","","","Login with username in upper case",""
"passed","Thu Apr 13 06:06:17 GMT 2023","Thu Apr 13 06:06:17 GMT 2023","344","","Login tests ","","","","Login with empty username and password fields",""
"passed","Thu Apr 13 06:06:05 GMT 2023","Thu Apr 13 06:06:08 GMT 2023","2484","","Add Products to shopping cart ","","","","Click on the Random Add to Cart buton from inventory",""
"passed","Thu Apr 13 06:06:35 GMT 2023","Thu Apr 13 06:06:35 GMT 2023","371","","Mercado Libre Departments","","","","should contain departments",""
"passed","Thu Apr 13 06:06:17 GMT 2023","Thu Apr 13 06:06:18 GMT 2023","558","","Login tests ","","","","Login with empty username and valid password",""
"passed","Thu Apr 13 06:06:14 GMT 2023","Thu Apr 13 06:06:15 GMT 2023","1198","","Login tests ","","","","Login with invalid username and password",""
"passed","Thu Apr 13 06:06:18 GMT 2023","Thu Apr 13 06:06:18 GMT 2023","521","","Login tests ","","","","Login with valid username and empty password",""
