"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 12 07:34:10 GMT 2023","Wed Apr 12 07:34:12 GMT 2023","1922","","Login tests ","","","","Login with valid credentials",""
"passed","Wed Apr 12 07:34:15 GMT 2023","Wed Apr 12 07:34:15 GMT 2023","278","","Login tests ","","","","Login with empty username and password fields",""
"passed","Wed Apr 12 07:34:15 GMT 2023","Wed Apr 12 07:34:16 GMT 2023","516","","Login tests ","","","","Login with empty username and valid password",""
"passed","Wed Apr 12 07:34:12 GMT 2023","Wed Apr 12 07:34:13 GMT 2023","1040","","Login tests ","","","","Login with invalid username and password",""
"passed","Wed Apr 12 07:34:14 GMT 2023","Wed Apr 12 07:34:15 GMT 2023","832","","Login tests ","","","","Login with invalid password",""
"failed","Wed Apr 12 07:34:26 GMT 2023","Wed Apr 12 07:34:32 GMT 2023","5221","","Login tests ","","","","Login with username in upper case",""
"passed","Wed Apr 12 07:34:16 GMT 2023","Wed Apr 12 07:34:16 GMT 2023","498","","Login tests ","","","","Login with valid username and empty password",""
"passed","Wed Apr 12 07:34:40 GMT 2023","Wed Apr 12 07:34:41 GMT 2023","973","","Login with valid credentials","","","","login error",""
"passed","Wed Apr 12 07:34:13 GMT 2023","Wed Apr 12 07:34:14 GMT 2023","866","","Login tests ","","","","Login with invalid user",""
