"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 07 00:52:37 GMT 2023","Sun May 07 00:52:38 GMT 2023","801","","Login tests ","","","","Login with invalid password",""
"passed","Sun May 07 00:52:36 GMT 2023","Sun May 07 00:52:37 GMT 2023","836","","Login tests ","","","","Login with invalid user",""
"passed","Sun May 07 00:52:34 GMT 2023","Sun May 07 00:52:35 GMT 2023","1320","","Login tests ","","","","Login with valid credentials",""
"passed","Sun May 07 00:52:26 GMT 2023","Sun May 07 00:52:28 GMT 2023","2088","","Add Products to shopping cart ","","","","Click on the Random Add to Cart buton from inventory",""
"passed","Sun May 07 00:52:28 GMT 2023","Sun May 07 00:52:29 GMT 2023","1424","","Add Products to shopping cart ","","","","Click on the Remove Button from Cart Page",""
"passed","Sun May 07 00:52:38 GMT 2023","Sun May 07 00:52:39 GMT 2023","526","","Login tests ","","","","Login with empty username and valid password",""
"failed","Sun May 07 00:52:44 GMT 2023","Sun May 07 00:52:50 GMT 2023","5190","","Login tests ","","","","Login with username in upper case",""
"passed","Sun May 07 00:52:39 GMT 2023","Sun May 07 00:52:39 GMT 2023","495","","Login tests ","","","","Login with valid username and empty password",""
"passed","Sun May 07 00:52:35 GMT 2023","Sun May 07 00:52:36 GMT 2023","987","","Login tests ","","","","Login with invalid username and password",""
"passed","Sun May 07 00:52:56 GMT 2023","Sun May 07 00:52:56 GMT 2023","330","","Mercado Libre Departments","","","","should contain departments",""
"passed","Sun May 07 00:52:38 GMT 2023","Sun May 07 00:52:38 GMT 2023","297","","Login tests ","","","","Login with empty username and password fields",""
