"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 21 00:48:14 GMT 2023","Fri Apr 21 00:48:14 GMT 2023","382","","Mercado Libre Departments","","","","should contain departments",""
"passed","Fri Apr 21 00:47:44 GMT 2023","Fri Apr 21 00:47:47 GMT 2023","2402","","Add Products to shopping cart ","","","","Click on the Random Add to Cart buton from inventory",""
"passed","Fri Apr 21 00:47:55 GMT 2023","Fri Apr 21 00:47:56 GMT 2023","815","","Login tests ","","","","Login with invalid user",""
"passed","Fri Apr 21 00:47:47 GMT 2023","Fri Apr 21 00:47:48 GMT 2023","1387","","Add Products to shopping cart ","","","","Click on the Remove Button from Cart Page",""
"passed","Fri Apr 21 00:47:54 GMT 2023","Fri Apr 21 00:47:55 GMT 2023","966","","Login tests ","","","","Login with invalid username and password",""
"passed","Fri Apr 21 00:47:56 GMT 2023","Fri Apr 21 00:47:56 GMT 2023","812","","Login tests ","","","","Login with invalid password",""
"passed","Fri Apr 21 00:47:53 GMT 2023","Fri Apr 21 00:47:54 GMT 2023","1183","","Login tests ","","","","Login with valid credentials",""
"passed","Fri Apr 21 00:47:57 GMT 2023","Fri Apr 21 00:47:58 GMT 2023","549","","Login tests ","","","","Login with valid username and empty password",""
"passed","Fri Apr 21 00:47:56 GMT 2023","Fri Apr 21 00:47:57 GMT 2023","284","","Login tests ","","","","Login with empty username and password fields",""
"passed","Fri Apr 21 00:47:57 GMT 2023","Fri Apr 21 00:47:57 GMT 2023","501","","Login tests ","","","","Login with empty username and valid password",""
"failed","Fri Apr 21 00:48:03 GMT 2023","Fri Apr 21 00:48:08 GMT 2023","5124","","Login tests ","","","","Login with username in upper case",""
