"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 17 00:50:01 GMT 2023","Mon Apr 17 00:50:01 GMT 2023","566","","Login tests ","","","","Login with valid username and empty password",""
"passed","Mon Apr 17 00:50:18 GMT 2023","Mon Apr 17 00:50:18 GMT 2023","637","","Mercado Libre Departments","","","","should contain departments",""
"failed","Mon Apr 17 00:50:07 GMT 2023","Mon Apr 17 00:50:12 GMT 2023","5202","","Login tests ","","","","Login with username in upper case",""
"passed","Mon Apr 17 00:49:57 GMT 2023","Mon Apr 17 00:49:58 GMT 2023","972","","Login tests ","","","","Login with invalid username and password",""
"passed","Mon Apr 17 00:49:58 GMT 2023","Mon Apr 17 00:49:59 GMT 2023","848","","Login tests ","","","","Login with invalid user",""
"passed","Mon Apr 17 00:49:50 GMT 2023","Mon Apr 17 00:49:52 GMT 2023","1465","","Add Products to shopping cart ","","","","Click on the Remove Button from Cart Page",""
"passed","Mon Apr 17 00:49:56 GMT 2023","Mon Apr 17 00:49:57 GMT 2023","1165","","Login tests ","","","","Login with valid credentials",""
"passed","Mon Apr 17 00:49:48 GMT 2023","Mon Apr 17 00:49:50 GMT 2023","2069","","Add Products to shopping cart ","","","","Click on the Random Add to Cart buton from inventory",""
"passed","Mon Apr 17 00:50:00 GMT 2023","Mon Apr 17 00:50:01 GMT 2023","536","","Login tests ","","","","Login with empty username and valid password",""
"passed","Mon Apr 17 00:50:00 GMT 2023","Mon Apr 17 00:50:00 GMT 2023","311","","Login tests ","","","","Login with empty username and password fields",""
"passed","Mon Apr 17 00:49:59 GMT 2023","Mon Apr 17 00:50:00 GMT 2023","835","","Login tests ","","","","Login with invalid password",""
