"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 22 00:48:14 GMT 2023","Sat Apr 22 00:48:15 GMT 2023","672","","Login tests ","","","","Login with valid username and empty password",""
"passed","Sat Apr 22 00:48:00 GMT 2023","Sat Apr 22 00:48:01 GMT 2023","1708","","Add Products to shopping cart ","","","","Click on the Remove Button from Cart Page",""
"passed","Sat Apr 22 00:48:08 GMT 2023","Sat Apr 22 00:48:09 GMT 2023","1555","","Login tests ","","","","Login with valid credentials",""
"passed","Sat Apr 22 00:48:11 GMT 2023","Sat Apr 22 00:48:12 GMT 2023","1134","","Login tests ","","","","Login with invalid user",""
"passed","Sat Apr 22 00:48:35 GMT 2023","Sat Apr 22 00:48:36 GMT 2023","317","","Mercado Libre Departments","","","","should contain departments",""
"failed","Sat Apr 22 00:48:20 GMT 2023","Sat Apr 22 00:48:26 GMT 2023","5614","","Login tests ","","","","Login with username in upper case",""
"passed","Sat Apr 22 00:47:56 GMT 2023","Sat Apr 22 00:47:59 GMT 2023","3166","","Add Products to shopping cart ","","","","Click on the Random Add to Cart buton from inventory",""
"passed","Sat Apr 22 00:48:12 GMT 2023","Sat Apr 22 00:48:13 GMT 2023","947","","Login tests ","","","","Login with invalid password",""
"passed","Sat Apr 22 00:48:13 GMT 2023","Sat Apr 22 00:48:13 GMT 2023","306","","Login tests ","","","","Login with empty username and password fields",""
"passed","Sat Apr 22 00:48:13 GMT 2023","Sat Apr 22 00:48:14 GMT 2023","643","","Login tests ","","","","Login with empty username and valid password",""
"passed","Sat Apr 22 00:48:09 GMT 2023","Sat Apr 22 00:48:11 GMT 2023","1269","","Login tests ","","","","Login with invalid username and password",""
