"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 30 00:54:02 GMT 2023","Sun Apr 30 00:54:03 GMT 2023","837","","Login tests ","","","","Login with invalid user",""
"passed","Sun Apr 30 00:54:21 GMT 2023","Sun Apr 30 00:54:22 GMT 2023","357","","Mercado Libre Departments","","","","should contain departments",""
"passed","Sun Apr 30 00:53:52 GMT 2023","Sun Apr 30 00:53:54 GMT 2023","2096","","Add Products to shopping cart ","","","","Click on the Random Add to Cart buton from inventory",""
"passed","Sun Apr 30 00:54:03 GMT 2023","Sun Apr 30 00:54:04 GMT 2023","851","","Login tests ","","","","Login with invalid password",""
"passed","Sun Apr 30 00:54:00 GMT 2023","Sun Apr 30 00:54:01 GMT 2023","1176","","Login tests ","","","","Login with valid credentials",""
"passed","Sun Apr 30 00:53:54 GMT 2023","Sun Apr 30 00:53:56 GMT 2023","1525","","Add Products to shopping cart ","","","","Click on the Remove Button from Cart Page",""
"passed","Sun Apr 30 00:54:04 GMT 2023","Sun Apr 30 00:54:04 GMT 2023","298","","Login tests ","","","","Login with empty username and password fields",""
"passed","Sun Apr 30 00:54:05 GMT 2023","Sun Apr 30 00:54:05 GMT 2023","570","","Login tests ","","","","Login with valid username and empty password",""
"failed","Sun Apr 30 00:54:10 GMT 2023","Sun Apr 30 00:54:16 GMT 2023","5141","","Login tests ","","","","Login with username in upper case",""
"passed","Sun Apr 30 00:54:01 GMT 2023","Sun Apr 30 00:54:02 GMT 2023","959","","Login tests ","","","","Login with invalid username and password",""
"passed","Sun Apr 30 00:54:04 GMT 2023","Sun Apr 30 00:54:05 GMT 2023","493","","Login tests ","","","","Login with empty username and valid password",""
