"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 13 07:32:41 GMT 2023","Thu Apr 13 07:32:43 GMT 2023","1555","","Add Products to shopping cart ","","","","Click on the Remove Button from Cart Page",""
"passed","Thu Apr 13 07:32:52 GMT 2023","Thu Apr 13 07:32:53 GMT 2023","1003","","Login tests ","","","","Login with invalid password",""
"failed","Thu Apr 13 07:32:59 GMT 2023","Thu Apr 13 07:33:05 GMT 2023","5259","","Login tests ","","","","Login with username in upper case",""
"passed","Thu Apr 13 07:32:53 GMT 2023","Thu Apr 13 07:32:53 GMT 2023","555","","Login tests ","","","","Login with empty username and valid password",""
"passed","Thu Apr 13 07:33:12 GMT 2023","Thu Apr 13 07:33:12 GMT 2023","365","","Mercado Libre Departments","","","","should contain departments",""
"passed","Thu Apr 13 07:32:51 GMT 2023","Thu Apr 13 07:32:52 GMT 2023","941","","Login tests ","","","","Login with invalid user",""
"passed","Thu Apr 13 07:32:53 GMT 2023","Thu Apr 13 07:32:54 GMT 2023","641","","Login tests ","","","","Login with valid username and empty password",""
"passed","Thu Apr 13 07:32:39 GMT 2023","Thu Apr 13 07:32:41 GMT 2023","2679","","Add Products to shopping cart ","","","","Click on the Random Add to Cart buton from inventory",""
"passed","Thu Apr 13 07:32:48 GMT 2023","Thu Apr 13 07:32:49 GMT 2023","1385","","Login tests ","","","","Login with valid credentials",""
"passed","Thu Apr 13 07:32:49 GMT 2023","Thu Apr 13 07:32:51 GMT 2023","1125","","Login tests ","","","","Login with invalid username and password",""
"passed","Thu Apr 13 07:32:53 GMT 2023","Thu Apr 13 07:32:53 GMT 2023","265","","Login tests ","","","","Login with empty username and password fields",""
