"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 09 18:39:35 GMT 2023","Tue May 09 18:39:35 GMT 2023","522","","Login tests ","","","","Login with empty username and valid password",""
"failed","Tue May 09 18:39:41 GMT 2023","Tue May 09 18:39:46 GMT 2023","5122","","Login tests ","","","","Login with username in upper case",""
"passed","Tue May 09 18:39:51 GMT 2023","Tue May 09 18:39:52 GMT 2023","365","","Mercado Libre Departments","","","","should contain departments",""
"passed","Tue May 09 18:39:34 GMT 2023","Tue May 09 18:39:35 GMT 2023","283","","Login tests ","","","","Login with empty username and password fields",""
"passed","Tue May 09 18:39:32 GMT 2023","Tue May 09 18:39:33 GMT 2023","936","","Login tests ","","","","Login with invalid username and password",""
"passed","Tue May 09 18:39:31 GMT 2023","Tue May 09 18:39:32 GMT 2023","1204","","Login tests ","","","","Login with valid credentials",""
"passed","Tue May 09 18:39:23 GMT 2023","Tue May 09 18:39:25 GMT 2023","2007","","Add Products to shopping cart ","","","","Click on the Random Add to Cart buton from inventory",""
"passed","Tue May 09 18:39:33 GMT 2023","Tue May 09 18:39:34 GMT 2023","827","","Login tests ","","","","Login with invalid user",""
"passed","Tue May 09 18:39:25 GMT 2023","Tue May 09 18:39:26 GMT 2023","1402","","Add Products to shopping cart ","","","","Click on the Remove Button from Cart Page",""
"passed","Tue May 09 18:39:34 GMT 2023","Tue May 09 18:39:34 GMT 2023","799","","Login tests ","","","","Login with invalid password",""
"passed","Tue May 09 18:39:35 GMT 2023","Tue May 09 18:39:36 GMT 2023","478","","Login tests ","","","","Login with valid username and empty password",""
