"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 12 20:29:44 GMT 2023","Wed Apr 12 20:29:46 GMT 2023","1294","","Login tests ","","","","Login with invalid username and password",""
"passed","Wed Apr 12 20:29:48 GMT 2023","Wed Apr 12 20:29:48 GMT 2023","510","","Login tests ","","","","Login with empty username and password fields",""
"passed","Wed Apr 12 20:29:33 GMT 2023","Wed Apr 12 20:29:36 GMT 2023","2896","","Add Products Carts ","","","","Login with valid credentials before cart",""
"passed","Wed Apr 12 20:29:46 GMT 2023","Wed Apr 12 20:29:47 GMT 2023","1057","","Login tests ","","","","Login with invalid user",""
"passed","Wed Apr 12 20:29:49 GMT 2023","Wed Apr 12 20:29:50 GMT 2023","726","","Login tests ","","","","Login with valid username and empty password",""
"passed","Wed Apr 12 20:29:43 GMT 2023","Wed Apr 12 20:29:44 GMT 2023","1494","","Login tests ","","","","Login with valid credentials",""
"failed","Wed Apr 12 20:30:01 GMT 2023","Wed Apr 12 20:30:07 GMT 2023","5812","","Login tests ","","","","Login with username in upper case",""
"passed","Wed Apr 12 20:29:47 GMT 2023","Wed Apr 12 20:29:48 GMT 2023","1110","","Login tests ","","","","Login with invalid password",""
"passed","Wed Apr 12 20:29:48 GMT 2023","Wed Apr 12 20:29:49 GMT 2023","688","","Login tests ","","","","Login with empty username and valid password",""
