"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 19 00:50:43 GMT 2023","Wed Apr 19 00:50:44 GMT 2023","885","","Login tests ","","","","Login with invalid user",""
"passed","Wed Apr 19 00:50:34 GMT 2023","Wed Apr 19 00:50:36 GMT 2023","1400","","Add Products to shopping cart ","","","","Click on the Remove Button from Cart Page",""
"passed","Wed Apr 19 00:50:42 GMT 2023","Wed Apr 19 00:50:43 GMT 2023","1106","","Login tests ","","","","Login with invalid username and password",""
"failed","Wed Apr 19 00:50:51 GMT 2023","Wed Apr 19 00:50:56 GMT 2023","5140","","Login tests ","","","","Login with username in upper case",""
"passed","Wed Apr 19 00:50:45 GMT 2023","Wed Apr 19 00:50:45 GMT 2023","516","","Login tests ","","","","Login with empty username and valid password",""
"passed","Wed Apr 19 00:50:45 GMT 2023","Wed Apr 19 00:50:45 GMT 2023","241","","Login tests ","","","","Login with empty username and password fields",""
"passed","Wed Apr 19 00:50:32 GMT 2023","Wed Apr 19 00:50:34 GMT 2023","2590","","Add Products to shopping cart ","","","","Click on the Random Add to Cart buton from inventory",""
"passed","Wed Apr 19 00:51:03 GMT 2023","Wed Apr 19 00:51:03 GMT 2023","545","","Mercado Libre Departments","","","","should contain departments",""
"passed","Wed Apr 19 00:50:45 GMT 2023","Wed Apr 19 00:50:46 GMT 2023","512","","Login tests ","","","","Login with valid username and empty password",""
"passed","Wed Apr 19 00:50:44 GMT 2023","Wed Apr 19 00:50:45 GMT 2023","959","","Login tests ","","","","Login with invalid password",""
"passed","Wed Apr 19 00:50:40 GMT 2023","Wed Apr 19 00:50:42 GMT 2023","1214","","Login tests ","","","","Login with valid credentials",""
