"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 04 00:51:06 GMT 2023","Thu May 04 00:51:07 GMT 2023","553","","Mercado Libre Departments","","","","should contain departments",""
"passed","Thu May 04 00:50:44 GMT 2023","Thu May 04 00:50:45 GMT 2023","955","","Login tests ","","","","Login with invalid user",""
"passed","Thu May 04 00:50:43 GMT 2023","Thu May 04 00:50:44 GMT 2023","1089","","Login tests ","","","","Login with invalid username and password",""
"passed","Thu May 04 00:50:46 GMT 2023","Thu May 04 00:50:46 GMT 2023","254","","Login tests ","","","","Login with empty username and password fields",""
"passed","Thu May 04 00:50:45 GMT 2023","Thu May 04 00:50:46 GMT 2023","1005","","Login tests ","","","","Login with invalid password",""
"passed","Thu May 04 00:50:41 GMT 2023","Thu May 04 00:50:43 GMT 2023","1384","","Login tests ","","","","Login with valid credentials",""
"passed","Thu May 04 00:50:46 GMT 2023","Thu May 04 00:50:47 GMT 2023","571","","Login tests ","","","","Login with empty username and valid password",""
"passed","Thu May 04 00:50:47 GMT 2023","Thu May 04 00:50:47 GMT 2023","555","","Login tests ","","","","Login with valid username and empty password",""
"failed","Thu May 04 00:50:53 GMT 2023","Thu May 04 00:50:58 GMT 2023","5400","","Login tests ","","","","Login with username in upper case",""
"passed","Thu May 04 00:50:34 GMT 2023","Thu May 04 00:50:36 GMT 2023","1500","","Add Products to shopping cart ","","","","Click on the Remove Button from Cart Page",""
"passed","Thu May 04 00:50:31 GMT 2023","Thu May 04 00:50:34 GMT 2023","3263","","Add Products to shopping cart ","","","","Click on the Random Add to Cart buton from inventory",""
