"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 29 00:46:50 GMT 2023","Sat Apr 29 00:46:50 GMT 2023","838","","Login tests ","","","","Login with invalid user",""
"passed","Sat Apr 29 00:46:52 GMT 2023","Sat Apr 29 00:46:53 GMT 2023","617","","Login tests ","","","","Login with valid username and empty password",""
"passed","Sat Apr 29 00:46:50 GMT 2023","Sat Apr 29 00:46:51 GMT 2023","873","","Login tests ","","","","Login with invalid password",""
"failed","Sat Apr 29 00:46:58 GMT 2023","Sat Apr 29 00:47:03 GMT 2023","5131","","Login tests ","","","","Login with username in upper case",""
"passed","Sat Apr 29 00:47:09 GMT 2023","Sat Apr 29 00:47:09 GMT 2023","330","","Mercado Libre Departments","","","","should contain departments",""
"passed","Sat Apr 29 00:46:52 GMT 2023","Sat Apr 29 00:46:52 GMT 2023","497","","Login tests ","","","","Login with empty username and valid password",""
"passed","Sat Apr 29 00:46:39 GMT 2023","Sat Apr 29 00:46:42 GMT 2023","2974","","Add Products to shopping cart ","","","","Click on the Random Add to Cart buton from inventory",""
"passed","Sat Apr 29 00:46:49 GMT 2023","Sat Apr 29 00:46:50 GMT 2023","952","","Login tests ","","","","Login with invalid username and password",""
"passed","Sat Apr 29 00:46:47 GMT 2023","Sat Apr 29 00:46:49 GMT 2023","1170","","Login tests ","","","","Login with valid credentials",""
"passed","Sat Apr 29 00:46:42 GMT 2023","Sat Apr 29 00:46:43 GMT 2023","1292","","Add Products to shopping cart ","","","","Click on the Remove Button from Cart Page",""
"passed","Sat Apr 29 00:46:51 GMT 2023","Sat Apr 29 00:46:52 GMT 2023","222","","Login tests ","","","","Login with empty username and password fields",""
