"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 26 00:48:48 GMT 2023","Wed Apr 26 00:48:48 GMT 2023","237","","Login tests ","","","","Login with empty username and password fields",""
"passed","Wed Apr 26 00:48:48 GMT 2023","Wed Apr 26 00:48:49 GMT 2023","522","","Login tests ","","","","Login with empty username and valid password",""
"passed","Wed Apr 26 00:48:38 GMT 2023","Wed Apr 26 00:48:39 GMT 2023","1443","","Add Products to shopping cart ","","","","Click on the Remove Button from Cart Page",""
"passed","Wed Apr 26 00:48:46 GMT 2023","Wed Apr 26 00:48:47 GMT 2023","923","","Login tests ","","","","Login with invalid user",""
"passed","Wed Apr 26 00:48:36 GMT 2023","Wed Apr 26 00:48:38 GMT 2023","2125","","Add Products to shopping cart ","","","","Click on the Random Add to Cart buton from inventory",""
"passed","Wed Apr 26 00:48:47 GMT 2023","Wed Apr 26 00:48:48 GMT 2023","950","","Login tests ","","","","Login with invalid password",""
"passed","Wed Apr 26 00:49:06 GMT 2023","Wed Apr 26 00:49:06 GMT 2023","345","","Mercado Libre Departments","","","","should contain departments",""
"failed","Wed Apr 26 00:48:55 GMT 2023","Wed Apr 26 00:49:00 GMT 2023","5139","","Login tests ","","","","Login with username in upper case",""
"passed","Wed Apr 26 00:48:44 GMT 2023","Wed Apr 26 00:48:45 GMT 2023","1172","","Login tests ","","","","Login with valid credentials",""
"passed","Wed Apr 26 00:48:45 GMT 2023","Wed Apr 26 00:48:46 GMT 2023","1044","","Login tests ","","","","Login with invalid username and password",""
"passed","Wed Apr 26 00:48:49 GMT 2023","Wed Apr 26 00:48:49 GMT 2023","585","","Login tests ","","","","Login with valid username and empty password",""
