"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 13 00:46:59 GMT 2023","Thu Apr 13 00:47:00 GMT 2023","1317","","Login tests ","","","","Login with invalid username and password",""
"passed","Thu Apr 13 00:46:48 GMT 2023","Thu Apr 13 00:46:51 GMT 2023","2732","","Add Products Carts ","","","","Login with valid credentials before cart",""
"passed","Thu Apr 13 00:46:57 GMT 2023","Thu Apr 13 00:46:59 GMT 2023","1573","","Login tests ","","","","Login with valid credentials",""
"passed","Thu Apr 13 00:47:00 GMT 2023","Thu Apr 13 00:47:01 GMT 2023","1002","","Login tests ","","","","Login with invalid user",""
"passed","Thu Apr 13 00:47:02 GMT 2023","Thu Apr 13 00:47:03 GMT 2023","640","","Login tests ","","","","Login with empty username and valid password",""
"passed","Thu Apr 13 00:47:02 GMT 2023","Thu Apr 13 00:47:02 GMT 2023","455","","Login tests ","","","","Login with empty username and password fields",""
"passed","Thu Apr 13 00:47:01 GMT 2023","Thu Apr 13 00:47:02 GMT 2023","1008","","Login tests ","","","","Login with invalid password",""
"passed","Thu Apr 13 00:47:03 GMT 2023","Thu Apr 13 00:47:04 GMT 2023","717","","Login tests ","","","","Login with valid username and empty password",""
"failed","Thu Apr 13 00:47:15 GMT 2023","Thu Apr 13 00:47:20 GMT 2023","5539","","Login tests ","","","","Login with username in upper case",""
